"FLoanOriginationYear","FDebtToIncomeRatio","FProsperGainRate","LoanOriginalAmount"
"2011","0.5","0.01",881619
"2011","0.6","0.01",563090
"2011","0.7","0.01",138164
"2011","0.8","0.01",135777
"2011","0.9","0.01",30475
"2011","1","0.01",48769
"2011","1.1","0.01",20500
"2011","1.2","0.01",52000
"2011","1.3","0.01",4000
"2011","1.4","0.01",8146
"2011","1.5","0.01",7500
"2011","1.6","0.01",4000
"2011","1.8","0.01",7500
"2011","1.9","0.01",9000
"2011","2.6","0.01",6000
"2011","3.6","0.01",7000
"2011","3.7","0.01",4000
"2011","7.8","0.01",4000
"2012","0","0.01",865285
"2012","0.1","0.01",9448549
"2012","0.2","0.01",13541741
"2012","0.3","0.01",6559796
"2012","0.4","0.01",3443493
"2012","0.5","0.01",1081430
"2012","0.6","0.01",512760
"2012","0.7","0.01",241800
"2012","0.8","0.01",172000
"2012","0.9","0.01",39000
"2012","1","0.01",70500
"2012","1.1","0.01",32000
"2012","1.2","0.01",28000
"2012","1.3","0.01",4000
"2012","1.5","0.01",9000
"2012","1.9","0.01",20500
"2012","2.3","0.01",2949
"2012","2.6","0.01",4000
"2012","2.7","0.01",2000
"2012","2.8","0.01",3000
"2012","3.2","0.01",4000
"2012","4.4","0.01",4000
"2012","4.8","0.01",3700
"2012","4.9","0.01",4000
"2012","6.5","0.01",4000
"2012","7.1","0.01",4000
"2013","0","0.01",206449
"2013","0.1","0.01",3563715
"2013","0.2","0.01",8837121
"2013","0.3","0.01",4426041
"2013","0.4","0.01",2292750
"2013","0.5","0.01",467225
"2013","0.6","0.01",117100
"2013","0.7","0.01",37000
"2013","0.8","0.01",18500
"2013","0.9","0.01",4000
"2013","1","0.01",4000
"2013","1.7","0.01",4000
"2013","2","0.01",4000
"2013","2.5","0.01",2000
"2013","4.8","0.01",4000
